name,label,parent_id
922,Kaiserganj,125
4081,Kalamb,500
4239,Kalamb,488
4025,Kalameshwar,484
4114,Kalamnuri,477
6882,Kalan,180
6866,Kalinagar,173
853,Kalpi,151
4143,Kalwan,487
4168,Kalyan,497
4030,Kamptee,484
4108,Kandhar,485
4277,Kankavli,495
4133,Kannad,469
834,Kannauj,155
849,Kanpur,157
718,Kanth,171
6879,Kaptanganj,160
4265,Karad,494
3997,Karanja,499
4016,Karanja,498
892,Karchhana,120
776,Karhal,166
4174,Karjat,491
4213,Karjat,466
4244,Karmala,496
4287,Karvir,480
875,Karwi,136
1010,Kasganj,633
6834,Kasimabad,146
957,Kasya,160
4024,Katol,484
4303,Kavathemahankal,493
4090,Kelapur,500
986,Kerakat,152
6878,Khadda,160
879,Khaga,142
752,Khair,119
953,Khajni,148
4175,Khalapur,491
942,Khalilabad,178
3981,Khamgaon,472
4299,Khanapur,493
4257,Khandala,494
710,Khatauli,172
4260,Khatav,494
4190,Khed,490
4268,Khed,492
737,Khekada,124
768,Kheragarh,118
4138,Khuldabad,469
751,Khurja,134
4096,Kinwat,485
767,Kiraoli,118
6872,Kishni,166
755,Koil,119
855,Konch,151
4203,Kopargaon,466
895,Koraon,120
4055,Korchi,475
4261,Koregaon,494
4075,Korpana,473
4280,Kudal,495
4035,Kuhi,484
868,Kulpahar,165
881,Kunda,174
6874,Kurawali,166
4054,Kurkheda,475
787788901,L Ward,482
805,Laharpur,183
4043,Lakhandur,471
4041,Lakhani,471
801,Lakhimpur,159
1001,Lalganj,170
969,Lalganj,123
880,Lalganj,174
826,Lalganj,175
862,Lalitpur,161
917,Lambhua,185
4273,Lanja,492
4226,Latur,481
4107,Loha,485
4242,Lohara,488
3987,Lonar,472
6089,Loni,145
787788902,M East Ward,482
787788903,M West Ward,482
4259,MAN,494
762,MAT,167
876,MAU,136
4072,MUL,473
983,Machhlishahr,152
4245,Madha,496
851,Madhogarh,151
972,Madhuban,168
4255,Mahabaleshwar,494
4185,Mahad,491
4087,Mahagaon,500
823,Maharajganj,175
947,Maharajganj,164
920,Mahasi,125
763,Mahavan,167
807,Mahmudabad,183
870,Mahoba,165
6880,Maholi,183
863,Mahroni,161
4095,Mahur,485
775,Mainpuri,166
6871,Maitha,156
4219,Majalgaon,470
3995,Malegaon,499
4146,Malegaon,487
819,Malihabad,162
3979,Malkapur,472
4250,Malshiras,496
4278,Malwan,495
4266,Mandangad,492
4252,Mangalvedhe,496
4181,Mangaon,491
3996,Mangrulpir,499
5930,Manikpur,136
886,Manjhanpur,158
931,Mankapur,147
3998,Manora,499
4132,Mantha,479
4119,Manwath,489
4092,Maregaon,500
985,Mariahu,152
1002,Marihan,170
6165,Martinganjon,123
764,Mathura,167
4029,Mauda,484
867,Maudaha,149
973,Maunath Bhanjan,168
859,Mauranipur,153
4191,Mawal,490
733,Mawana,169
6369,Mdawara,161
785,Meerganj,130
734,Meerut,169
941,Mehdawal,178
3982,Mehkar,472
970,Mehnagar,123
894,Meja,120
4184,Mhasla,491
6862,Mihinpurwa Motipur,125
728,Milak,176
903,Milkipur,140
4302,Miraj,493
1000,Mirzapur,170
803,Misrikh,183
6875,Mitauli,159
738,Modinagar,145
4038,Mohadi,471
990,Mohammadabad,146
800,Mohammdi,159
822,Mohanlalganj,162
4248,Mohol,496
4161,Mokhada,665
719,Moradabad,171
4006,Morshi,468
3980,Motala,472
856,Moth,153
4101,Mudkhed,485
974,Muhammadabad Gohna,168
4109,Mukhed,485
3963,Muktainagar (Edlabad),478
4059,Mulchera,475
4192,Mulshi,490
4171,Murbad,497
3992,Murtijapur,467
4178,Murud,491
912,Musafirkhana,640
708,Muzaffarnagar,172
787788904,N Ward,482
4079,NER,500
4209,Nagar,466
4066,Nagbhid,473
714,Nagina,132
4031,Nagpur (Rural),484
4032,Nagpur (Urban),484
4106,Naigaon (Khairgaon),485
712,Najibabad,132
703,Nakur,177
4100,Nanded,485
4147,Nandgaon,487
4012,Nandgaon-Khandeshwar,468
3978,Nandura,472
3954,Nandurbar,486
919,Nanpara,125
874,Naraini,128
4023,Narkhed,484
6163,Narwal,157
4152,Nashik,487
6870,Naugarh,135
933,Naugarh,182
6831,Naugawan Sadat,154
944,Nautanwa,164
898,Nawabganj,129
788,Nawabganj,130
3955,Nawapur,486
4206,Nevasa,466
945,Nichlaul,164
797,Nighasan,159
4233,Nilanga,481
4155,Niphad,487
967,Nizamabad,123
7127,Obra,184
4243,Omarga,488
854,Orai,151
787788905,P North Ward,482
787788906,P South Ward,482
4176,PEN,491
3973,Pachora,478
955,Padrauna,160
6157,Pailani,128
4141,Paithan,469
4123,Palam,489
4163,Palghar,665
6881,Pali,161
798,Palia,159
4297,Palus,493
4249,Pandharpur,496
6869,Pandit Deendayal Upadhyay Nagar,135
4284,Panhala,480
4173,Panvel,491
4236,Paranda,488
4118,Parbhani,489
4224,Parli,470
4211,Parner,466
3970,Parola,478
4027,Parseoni,484
4131,Partur,479
4264,Patan,494
4208,Pathardi,466
4120,Pathri,489
1012,Patiyali,633
4216,Patoda,470
883,Patti,174
3993,Patur,467
4042,Pauni,471
6861,Payagpur,125
4150,Peth,487
4258,Phaltan,494
946,Pharenda,164
4136,Phulambri,469
968,Phulpur,123
889,Phulpur,120
790,Pilibhit,173
995,Pindra,187
4186,Poladpur,491
4073,Pombhurna,473
793,Powayan,180
882,Pratapgarh,174
4194,Pune City,490
4196,Purandhar,490
792,Puranpur,173
4124,Purna,489
817,Purwa,186
4085,Pusad,500
787788907,R Central Ward,482
787788908,R North Ward,482
787788909,R South Ward,482
825,RAE Bareli,175
4289,Radhanagari,480
4204,Rahta,466
4210,Rahuri,466
4274,Rajapur,492
6093,Rajatalab,187
4077,Rajura,473
4091,Ralegaon,500
897,Ramnagar,129
726,Rampur,176
705,Rampur Maniharan,177
900,Ramsanehighat,129
4028,Ramtek,484
884,Raniganj,174
977,Rasra,126
843,Rasulabad,156
865,Rath,149
4271,Ratnagiri,492
3962,Raver,478
4227,Renapur,481
4000,Risod,499
1005,Robertsganj,184
4179,Roha,491
902,Rudauli,140
960,Rudrapur,137
787788910,S Ward,482
760,Sadabad,163
4049,Sadak-Arjuni,476
821,Sadar,162
814,Safipur,186
965,Sagri,123
702,Saharanpur,177
781,Sahaswan,133
1011,Sahawar,633
949,Sahjanwa,148
988,Saidpur,146
837,Saifai,139
992,Sakaldiha,135
4040,Sakoli,471
3958,Sakri,474
4048,Salekasa,476
962,Salempur,137
829,Salon,175
721,Sambhal,659
4022,Samudrapur,498
813,Sandila,150
4272,Sangameshwar,492
4202,Sangamner,466
4251,Sangole,496
3976,Sangrampur,472
732,Sardhana,169
866,Sarila,149
6094,Sarojani Nagar,162
757,Sasni,163
4262,Satara,494
4026,Savner,484
4068,Sawali,473
4281,Sawantwadi,495
810,Sawayajpur,150
4018,Seloo,498
4116,Selu,489
4111,Sengaon,477
6835,Sewarai,146
809,Shahabad,150
727,Shahabad,176
3953,Shahade,486
4167,Shahapur,497
981,Shahganj,152
795,Shahjahanpur,180
4283,Shahuwadi,480
707,Shamli,660
3977,Shegaon,472
4207,Shevgaon,466
750,Shikarpur,134
774,Shikohabad,143
4295,Shirala,493
4286,Shirol,480
3956,Shirpur,474
4189,Shirur,490
4217,Shirur (Kasar),470
4231,Shirur Anantpal,481
932,Shohratgarh,182
4212,Shrigonda,466
4205,Shrirampur,466
4183,Shrivardhan,491
747,Siana,134
808,Sidhauli,183
976,Sikanderpur,126
847,Sikandra,156
758,Sikandra RAO,163
745,Sikandrabad,134
4135,Sillod,469
4069,Sindewahi,473
3986,Sindkhed Raja,472
3957,Sindkhede,474
4154,Sinnar,487
885,Sirathu,158
899,Sirauli Gauspur,129
4063,Sironcha,475
6161,Sirsaganj,143
804,Sitapur,183
4134,Soegaon,469
904,Sohawal,140
4247,Solapur North,496
4253,Solapur South,496
4121,Sonpeth,489
888,Soraon,120
723,Suar,176
4180,Sudhagad,491
915,Sultanpur,185
4142,Surgana,487
787788911,T Ward,482
6158,Takha,139
4182,Tala,491
4157,Talasari,665
861,Talbehat,161
3952,Talode,486
958,Tamkuhi RAJ,160
724,Tanda,176
907,Tanda,121
930,Tarabganj,147
4301,Tasgaon,493
3988,Telhara,467
717,Thakurdwara,171
4165,Thane,497
794,Tilhar,180
824,Tiloi,640
4008,Tiosa,468
4044,Tirora,476
835,Tirwa,155
4151,Trimbakeshwar,487
4241,Tuljapur,488
926,Tulsipur,127
4037,Tumsar,471
771,Tundla,143
6159,UN,660
4235,Udgir,481
4169,Ulhasnagar,497
4086,Umarkhed,500
4034,Umred,484
4103,Umri,485
828,Unchahar,175
816,Unnao,186
4172,Uran,491
927,Utraula,127
4276,Vaibhavvadi,495
4139,Vaijapur,469
996,Varanasi Sadar,187
4164,Vasai,665
4115,Vasmath,477
4197,Velhe,490
4279,Vengurla,495
4159,Vikramgad,665
4256,WAI,494
4162,Wada,665
4220,Wadwani,470
4296,Walwa,493
4094,Wani,500
4019,Wardha,498
4064,Warora,473
4007,Warud,468
4238,Washi,488
3999,Washim,499
4082,Yavatmal,500
3961,Yawal,478
4156,Yevla,487
991,Zamania,146
4093,Zari-Jamani,500
